,pii,Section_content,Spell_Check_Count,Spell_Check,Converted_Section_Content,Authors
10,S0003267021005377,#57217868851 conceptualization methodology data curation writing original draft #57226096205 software validation visualization #57203663587 investigation #57217867375 formal analysis #35751213700 supervision #35226899800 supervision #36443310100 resources #7404438823 resources,3,"{curation: 'on', validation: 'application', visualization: 'specification'}"," #57217868851 : Conceptualization, Methodology, Data curation, Writing – original draft.  #57226096205 : Software, Validation, Visualization.  #57203663587 : Investigation.  #57217867375 : Formal analysis.  #35751213700 : Supervision.  #35226899800 : Supervision. #36443310100 : Resources.  #7404438823 : Resources.","[{Authorseq"":1,""auid"":57217868851,""given_name_pn"":""Hangqing"",""surname_pn"":""Xie"",""initials_pn"":""H.""},{""Authorseq"":2,""auid"":57226096205,""given_name_pn"":""Haogang"",""surname_pn"":""Zhu"",""initials_pn"":""H.""},{""Authorseq"":3,""auid"":57203663587,""given_name_pn"":""Lei"",""surname_pn"":""Lei"",""initials_pn"":""L.""},{""Authorseq"":4,""auid"":57217867375,""given_name_pn"":""Xiaolei"",""surname_pn"":""Yang"",""initials_pn"":""X.""},{""Authorseq"":5,""auid"":35751213700,""given_name_pn"":""Youjie"",""surname_pn"":""Hua"",""initials_pn"":""Y.""},{""Authorseq"":6,""auid"":35226899800,""given_name_pn"":""Renguang"",""surname_pn"":""Ye"",""initials_pn"":""R.""},{""Authorseq"":7,""auid"":36443310100,""given_name_pn"":""Gongxun"",""surname_pn"":""Bai"",""initials_pn"":""G.""},{""Authorseq"":8,""auid"":7404438823,""given_name_pn"":""Shiqing"",""surname_pn"":""Xu"",""initials_pn"":""S.""}]"""
11,S0003269720303250,#56208138700 #57217065517 #57217065517 #37031061700  #55534112700  #57197857762 #56208138700 #57217065517,0,{}," #56208138700 . and  #57217065517 . conceived and designed the research.  #57217065517 . performed the experiments.  #37031061700 .,  #55534112700 ., and  #57197857762 . analyzed data.  #56208138700 . and  #57217065517 . participated in drafting the paper and gave approval to the final version of the manuscript.","[{Authorseq"":1,""auid"":57217065517,""given_name_pn"":""You Gan"",""surname_pn"":""Wang"",""initials_pn"":""Y.G.""},{""Authorseq"":2,""auid"":37031061700,""given_name_pn"":""Shu Yun"",""surname_pn"":""Huang"",""initials_pn"":""S.Y.""},{""Authorseq"":3,""auid"":55534112700,""given_name_pn"":""Li Na"",""surname_pn"":""Wang"",""initials_pn"":""L.N.""},{""Authorseq"":4,""auid"":57197857762,""given_name_pn"":""Zhi You"",""surname_pn"":""Zhou"",""initials_pn"":""Z.Y.""},{""Authorseq"":5,""auid"":56208138700,""given_name_pn"":""Jian Ding"",""surname_pn"":""Qiu"",""initials_pn"":""J.D.""}]"""
12,S0003347221000245,#54398264300 collected field data participated design study carried statistical analysis drafted manuscript #6603109231 #7004387896 supervised coordinated study participated data analysis helped draft manuscript all authors gave final approval publication,0,{}," #54398264300  collected field data, participated in the design of the study, carried out the statistical analysis and drafted the manuscript;  #6603109231  and  #7004387896  supervised and coordinated the study, participated in the data analysis and helped draft the manuscript. All authors gave final approval for publication.","[{Authorseq"":1,""auid"":54398264300,""given_name_pn"":""Léa"",""surname_pn"":""Briard"",""initials_pn"":""L.""},{""Authorseq"":2,""auid"":7004387896,""given_name_pn"":""Jean Louis"",""surname_pn"":""Deneubourg"",""initials_pn"":""J.L.""},{""Authorseq"":3,""auid"":6603109231,""given_name_pn"":""Odile"",""surname_pn"":""Petit"",""initials_pn"":""O.""}]"""
13,S0003347222000963,#57219177109 #7003980567 conceived research ideas design #57219177109 #7003980567 acquired funding #57219177109 #57682183900 collected data #7007135792 #35407302500 designed gas chromatography–mass spectrometry methodology analysed resulting data #57219177109 #56326134900 conducted data analyses interpretation #57219177109 wrote manuscript assistance #7003980567 #56326134900 all authors contributed critically draft,2,"{spectrometry: 'recovery', analysed: 'and'}", #57219177109  and  #7003980567  conceived the research ideas and design;  #57219177109  and  #7003980567  acquired funding;  #57219177109  and  #57682183900  collected the data;  #7007135792  and  #35407302500  designed gas chromatography–mass spectrometry methodology and analysed the resulting data;  #57219177109  and  #56326134900  conducted data analyses and interpretation; and  #57219177109  wrote the manuscript with assistance from  #7003980567  and  #56326134900  All authors contributed critically to the draft.,"[{Authorseq"":1,""auid"":57219177109,""given_name_pn"":""K. M."",""surname_pn"":""Talbott"",""initials_pn"":""K.M.""},{""Authorseq"":2,""auid"":56326134900,""given_name_pn"":""D. J."",""surname_pn"":""Becker"",""initials_pn"":""D.J.""},{""Authorseq"":3,""auid"":7007135792,""given_name_pn"":""H. A."",""surname_pn"":""Soini"",""initials_pn"":""H.A.""},{""Authorseq"":4,""auid"":57682183900,""given_name_pn"":""B. J."",""surname_pn"":""Higgins"",""initials_pn"":""B.J.""},{""Authorseq"":5,""auid"":35407302500,""given_name_pn"":""M. V."",""surname_pn"":""Novotny"",""initials_pn"":""M.V.""},{""Authorseq"":6,""auid"":7003980567,""given_name_pn"":""E. D."",""surname_pn"":""Ketterson"",""initials_pn"":""E.D.""}]"""
14,S0003986114001866,#55746174800 #55745578600 #57206962954 af y #55746174800 #16033791600 performed experiments collected analyzed data reviewed manuscript #56404914000 designed project supervised experiments wrote manuscript,1,{af: '.'}," #55746174800 ,  #55745578600 ,  #57206962954 , A.F., Y. #55746174800 . and  #16033791600  performed the experiments, collected and analyzed data, and reviewed the manuscript.  #56404914000  designed the project, supervised the experiments and wrote the manuscript.","[{Authorseq"":1,""auid"":55746174800,""given_name_pn"":""Wen Song"",""surname_pn"":""Cai"",""initials_pn"":""W.S.""},{""Authorseq"":2,""auid"":55745578600,""given_name_pn"":""Fei"",""surname_pn"":""Shen"",""initials_pn"":""F.""},{""Authorseq"":3,""auid"":57206962954,""given_name_pn"":""Jiang Lin"",""surname_pn"":""Li"",""initials_pn"":""J.L.""},{""Authorseq"":4,""auid"":56041113600,""given_name_pn"":""Zhe"",""surname_pn"":""Feng"",""initials_pn"":""Z.""},{""Authorseq"":5,""auid"":56209327600,""given_name_pn"":""Ying Cheng"",""surname_pn"":""Wang"",""initials_pn"":""Y.C.""},{""Authorseq"":6,""auid"":16033791600,""given_name_pn"":""Huan Qing"",""surname_pn"":""Xiao"",""initials_pn"":""H.Q.""},{""Authorseq"":7,""auid"":56404914000,""given_name_pn"":""Bo"",""surname_pn"":""Xu"",""initials_pn"":""B.""}]"""
15,S000398611730807X,#57194620554 #6603918555 designed study #57194620554 #57189986777 #57203138894 #6602564548 a #6603626528 #6603918555 carried experiments performed research analyzed data #57194620554 #6603918555 wrote manuscript,0,{}," #57194620554  and  #6603918555 C designed the study.  #57194620554 ,  #57189986777 ,  #57203138894 ,  #6602564548 A,  #6603626528  and  #6603918555 C carried out the experiments, performed research and analyzed data.  #57194620554  and  #6603918555 C wrote the manuscript.","[{Authorseq"":1,""auid"":57194620554,""given_name_pn"":""José L."",""surname_pn"":""Neira"",""initials_pn"":""J.L.""},{""Authorseq"":2,""auid"":57189986777,""given_name_pn"":""Felipe"",""surname_pn"":""Hornos"",""initials_pn"":""F.""},{""Authorseq"":3,""auid"":57203138894,""given_name_pn"":""Concetta"",""surname_pn"":""Cozza"",""initials_pn"":""C.""},{""Authorseq"":4,""auid"":6602564548,""given_name_pn"":""Ana"",""surname_pn"":""Cámara-Artigas"",""initials_pn"":""A.""},{""Authorseq"":5,""auid"":6603626528,""given_name_pn"":""Olga"",""surname_pn"":""Abián"",""initials_pn"":""O.""},{""Authorseq"":6,""auid"":6603918555,""given_name_pn"":""Adrián"",""surname_pn"":""Velázquez-Campoy"",""initials_pn"":""A.""}]"""
16,S0003986120305257,#7004857189 #7005891563 conceived supervised study #57147972600 #24539653600 #57218546329 designed performed experiment #57147972600 #24539653600 #6603568292 #16030770900 #7005891563 #7004857189 wrote reviewed edited manuscript all authors read approved final manuscript,0,{}," #7004857189  and  #7005891563  conceived and supervised the study.  #57147972600 ,  #24539653600  and  #57218546329  designed and performed the experiment.  #57147972600 ,  #24539653600 ,  #6603568292 ,  #16030770900 ,  #7005891563  and  #7004857189  wrote, reviewed and edited the manuscript. All authors read and approved the final manuscript.","[{Authorseq"":1,""auid"":57147972600,""given_name_pn"":""Shun Jie"",""surname_pn"":""Wun"",""initials_pn"":""S.J.""},{""Authorseq"":2,""auid"":24539653600,""given_name_pn"":""Lambro A."",""surname_pn"":""Johnson"",""initials_pn"":""L.A.""},{""Authorseq"":3,""auid"":57218546329,""given_name_pn"":""Lv"",""surname_pn"":""You"",""initials_pn"":""L.""},{""Authorseq"":4,""auid"":6603568292,""given_name_pn"":""Ross P."",""surname_pn"":""McGeary"",""initials_pn"":""R.P.""},{""Authorseq"":5,""auid"":16030770900,""given_name_pn"":""Thomas"",""surname_pn"":""Brueck"",""initials_pn"":""T.""},{""Authorseq"":6,""auid"":7005891563,""given_name_pn"":""Gerhard"",""surname_pn"":""Schenk"",""initials_pn"":""G.""},{""Authorseq"":7,""auid"":7004857189,""given_name_pn"":""Luke W."",""surname_pn"":""Guddat"",""initials_pn"":""L.W.""}]"""
17,S0005272818302524,#56622890000 performed experiments all authors analysed data wrote manuscript,1,{analysed: 'and'}, #56622890000  performed all the experiments. All the authors analysed the data and wrote the manuscript.,"[{Authorseq"":1,""auid"":56622890000,""given_name_pn"":""W. J."",""surname_pn"":""Nawrocki"",""initials_pn"":""W.J.""},{""Authorseq"":2,""auid"":24398358200,""given_name_pn"":""B."",""surname_pn"":""Bailleul"",""initials_pn"":""B.""},{""Authorseq"":3,""auid"":7801585004,""given_name_pn"":""P."",""surname_pn"":""Cardol"",""initials_pn"":""P.""},{""Authorseq"":4,""auid"":6701471773,""given_name_pn"":""F."",""surname_pn"":""Rappaport"",""initials_pn"":""F.""},{""Authorseq"":5,""auid"":7006770347,""given_name_pn"":""F. A."",""surname_pn"":""Wollman"",""initials_pn"":""F.A.""},{""Authorseq"":6,""auid"":7003761323,""given_name_pn"":""P."",""surname_pn"":""Joliot"",""initials_pn"":""P.""}]"""
18,S0005273616300815,#55318901600 designed performed research analyzed data #7402478359 designed performed research analyzed data wrote article,0,{}," #55318901600  designed and performed the research and analyzed the data.  #7402478359  designed and performed the research, analyzed data, and wrote the article.","[{Authorseq"":1,""auid"":55318901600,""given_name_pn"":""Lais"",""surname_pn"":""Alonso"",""initials_pn"":""L.""},{""Authorseq"":2,""auid"":7402478359,""given_name_pn"":""Antonio"",""surname_pn"":""Alonso"",""initials_pn"":""A.""}]"""
19,S0005273618301482,#55541992600 #36162572900 y·b contributed equally work,0,{}," #55541992600 ,  #36162572900  and Y·B contributed equally to this work.","[{Authorseq"":1,""auid"":55541992600,""given_name_pn"":""Jun Jie"",""surname_pn"":""Koh"",""initials_pn"":""J.J.""},{""Authorseq"":2,""auid"":36162572900,""given_name_pn"":""Shuimu"",""surname_pn"":""Lin"",""initials_pn"":""S.""},{""Authorseq"":3,""auid"":55327102600,""given_name_pn"":""Yang"",""surname_pn"":""Bai"",""initials_pn"":""Y.""},{""Authorseq"":4,""auid"":57195227368,""given_name_pn"":""Wendy Wan Ling"",""surname_pn"":""Sin"",""initials_pn"":""W.W.L.""},{""Authorseq"":5,""auid"":55638629900,""given_name_pn"":""Thet Tun"",""surname_pn"":""Aung"",""initials_pn"":""T.T.""},{""Authorseq"":6,""auid"":52264157700,""given_name_pn"":""Jianguo"",""surname_pn"":""Li"",""initials_pn"":""J.""},{""Authorseq"":7,""auid"":57202988090,""given_name_pn"":""Verma"",""surname_pn"":""Chandra"",""initials_pn"":""V.""},{""Authorseq"":8,""auid"":7003294249,""given_name_pn"":""Konstantin"",""surname_pn"":""Pervushin"",""initials_pn"":""K.""},{""Authorseq"":9,""auid"":7006039279,""given_name_pn"":""Roger W."",""surname_pn"":""Beuerman"",""initials_pn"":""R.W.""},{""Authorseq"":10,""auid"":36673445800,""given_name_pn"":""Shouping"",""surname_pn"":""Liu"",""initials_pn"":""S.""}]"""
